County Name,Organization Code,Organization Name,All Students Final Grad Base,All Students Graduates Total,All Students Graduation Rate,All Students Completers Total,All Students Completion Rate,Female Final Grad Base,Females Graduates Total,Female Graduation Rate,Female Completers Total,Female Completion Rate,Male Final Grad Base, Male Graduates Total,Male Graduation Rate,Male Completers Total,Male Completion Rate,American Indian or Alaska Native Final Grad Base,American Indian or Alaska Native Graduates,American Indian or Alaska Native Graduation Rate,American Indian or Alaska Native Completers Total,American Indian or Alaska Native Completion Rate,American Indian or Alaska Native Female Final Grad Base,American Indian or Alaska Native Female Graduates,American Indian or Alaska Native Female Native Graduation Rate,American Indian or Alaska Native Female Completers Total,American Indian or Alaska Native Female Completion Rate,American Indian or Alaska Native Male Final Grad Base,American Indian or Alaska Native Male Graduates,American Indian or Alaska Native Male Graduation Rate,American Indian or Alaska Native Male Completers Total,American Indian or Alaska Native Male Completion Rate,Asian Final Grad Base,Asian Graduates,Asian Graduation Rate,Asian Completers Total,Asian Completion Rate,Asian Female Final Grad Base,Asian Female Graduates,Asian Female Graduation Rate,Asian Female Completers Total,Asian Female Completion Rate,Asian Male Final Grad Base,Asian Male Graduates,Asian Male Graduation Rate,Asian Male Completers Total,Asian Male Completion Rate,Black or African American Final Grad Base,Black or African American Graduates,Black or African American Graduation Rate,Black or African American Completers Total,Black or African American Completion Rate,Black or African American Female Final Grad Base,Black or African American Female Graduates,Black or African American Female Graduation Rate,Black or African American Female Completers Total,Black or African American Female Completion Rate,Black or African American Male Final Grad Base,Black or African American Male Graduates,Black or African American Male Graduation Rate,Black or African American Male Completers Total,Black or African American Male Completion Rate,Hispanic or Latino Final Grad Base,Hispanic or Latino Graduates,Hispanic or Latino Graduation Rate,Hispanic or Latino Completers Total,Hispanic or Latino Completion Rate,Hispanic or Latino Female Final Grad Base,Hispanic or Latino Female Graduates,Hispanic or Latino Female Graduation Rate,Hispanic or Latino Female Completers Total,Hispanic or Latino Female Completion Rate,Hispanic or Latino Male Final Grad Base,Hispanic or Latino Male Graduates,Hispanic or Latino Male Graduation Rate,Hispanic or Latino Male Completers Total,Hispanic or Latino Male Completion Rate,White Final Grad Base,White Graduates,White Graduation Rate,White Completers Total,White Completion Rate,White Female Final Grad Base,White Female Graduates,White Female Graduation Rate,White Female Completers Total,White Female Completion Rate,White Male Final Grad Base,White Male Graduates,White Male Graduation Rate,White Male Completers Total,White Male Completion Rate,Native Hawaiian or Other Pacific Islander Grad Base,Native Hawaiian or Other Pacific Islander Graduates,Native Hawaiian or Other Pacific Islander Graduation Rate,Native Hawaiian or Other Pacific Islander Completers Total,Native Hawaiian or Other Pacific Islander Completion Rate,Native Hawaiian or Other Pacific Islander Female Grad Base,Native Hawaiian or Other Pacific Islander Female Graduates,Native Hawaiian or Other Pacific Islander Female Graduation Rate,Native Hawaiian or Other Pacific Islander Female Completers Total,Native Hawaiian or Other Pacific Islander Female Completion Rate,Native Hawaiian or Other Pacific Islander Male Grad Base,Native Hawaiian or Other Pacific Islander Male Graduates,Native Hawaiian or Other Pacific Islander Male Graduation Rate,Native Hawaiian or Other Pacific Islander Male Completers Total,Native Hawaiian or Other Pacific Islander Male Completion Rate,Two or More Races Final Grad Base,Two or More Races Graduates,Two or More Races Graduation Rate,Two or More Races Completers Total,Two or More Races Completion Rate,Two or More Races Female Final Grad Base,Two or More Races Female Graduates,Two or More Races Female Graduation Rate,Two or More Races Female Completers Total,Two or More Races Female Completion Rate,Two or More Races Male Final Grad Base,Two or More Races Male Graduates,Two or More Races Male Graduation Rate,Two or More Races Male Completers Total,Two or More Races Male Completion Rate
ADAMS,0010,MAPLETON 1,587,335,57.1%,354,60.3%,312,191,61.2%,199,63.8%,275,144,52.4%,155,56.4%,6,3,50.0%,4,66.7%,4,2,50.0%,2,50.0%,2,1,50.0%,2,100.0%,6,5,83.3%,5,83.3%,4,3,75.0%,3,75.0%,2,2,100.0%,2,100.0%,11,5,45.5%,5,45.5%,8,3,37.5%,3,37.5%,3,2,66.7%,2,66.7%,300,177,59.0%,179,59.7%,158,101,63.9%,103,65.2%,142,76,53.5%,76,53.5%,238,131,55.0%,143,60.1%,124,74,59.7%,78,62.9%,114,57,50.0%,65,57.0%,2,2,100.0%,2,100.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%,24,12,50.0%,16,66.7%,12,6,50.0%,8,66.7%,12,6,50.0%,8,66.7%
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"2,636","2,047",77.7%,"2,072",78.6%,"1,254","1,033",82.4%,"1,038",82.8%,"1,382","1,014",73.4%,"1,034",74.8%,23,13,56.5%,13,56.5%,11,9,81.8%,9,81.8%,12,4,33.3%,4,33.3%,158,145,91.8%,145,91.8%,81,76,93.8%,76,93.8%,77,69,89.6%,69,89.6%,67,51,76.1%,51,76.1%,29,21,72.4%,21,72.4%,38,30,78.9%,30,78.9%,937,684,73.0%,690,73.6%,439,344,78.4%,345,78.6%,498,340,68.3%,345,69.3%,"1,412","1,120",79.3%,"1,139",80.7%,675,566,83.9%,570,84.4%,737,554,75.2%,569,77.2%,10,9,90.0%,9,90.0%,4,4,100.0%,4,100.0%,6,5,83.3%,5,83.3%,29,25,86.2%,25,86.2%,15,13,86.7%,13,86.7%,14,12,85.7%,12,85.7%
ADAMS,0030,ADAMS COUNTY 14,492,316,64.2%,320,65.0%,225,168,74.7%,169,75.1%,267,148,55.4%,151,56.6%,3,1,33.3%,1,33.3%,1,1,100.0%,1,100.0%,2,0,0.0%,0,0.0%,3,3,100.0%,3,100.0%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%,9,5,55.6%,5,55.6%,2,1,50.0%,1,50.0%,7,4,57.1%,4,57.1%,411,265,64.5%,267,65.0%,190,144,75.8%,145,76.3%,221,121,54.8%,122,55.2%,64,41,64.1%,43,67.2%,30,20,66.7%,20,66.7%,34,21,61.8%,23,67.6%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,1,50.0%,1,50.0%,0,0,0.0%,0,0.0%,2,1,50.0%,1,50.0%
ADAMS,0040,SCHOOL DISTRICT 27J,960,736,76.7%,763,79.5%,483,401,83.0%,410,84.9%,477,335,70.2%,353,74.0%,7,5,71.4%,5,71.4%,4,3,75.0%,3,75.0%,3,2,66.7%,2,66.7%,31,24,77.4%,25,80.6%,15,13,86.7%,13,86.7%,16,11,68.8%,12,75.0%,16,14,87.5%,14,87.5%,11,10,90.9%,10,90.9%,5,4,80.0%,4,80.0%,441,314,71.2%,322,73.0%,211,166,78.7%,170,80.6%,230,148,64.3%,152,66.1%,441,358,81.2%,375,85.0%,227,195,85.9%,199,87.7%,214,163,76.2%,176,82.2%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,23,20,87.0%,21,91.3%,14,13,92.9%,14,100.0%,9,7,77.8%,7,77.8%
ADAMS,0050,BENNETT 29J,66,51,77.3%,52,78.8%,25,22,88.0%,22,88.0%,41,29,70.7%,30,73.2%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,9,5,55.6%,5,55.6%,1,1,100.0%,1,100.0%,8,4,50.0%,4,50.0%,53,43,81.1%,44,83.0%,22,19,86.4%,19,86.4%,31,24,77.4%,25,80.6%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%
ADAMS,0060,STRASBURG 31J,92,80,87.0%,80,87.0%,41,36,87.8%,36,87.8%,51,44,86.3%,44,86.3%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,10,6,60.0%,6,60.0%,3,2,66.7%,2,66.7%,7,4,57.1%,4,57.1%,79,71,89.9%,71,89.9%,37,33,89.2%,33,89.2%,42,38,90.5%,38,90.5%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%
ADAMS,0070,WESTMINSTER 50,685,407,59.4%,416,60.7%,338,233,68.9%,238,70.4%,347,174,50.1%,178,51.3%,2,1,50.0%,1,50.0%,1,1,100.0%,1,100.0%,1,0,0.0%,0,0.0%,39,26,66.7%,27,69.2%,18,14,77.8%,15,83.3%,21,12,57.1%,12,57.1%,7,4,57.1%,4,57.1%,5,3,60.0%,3,60.0%,2,1,50.0%,1,50.0%,495,294,59.4%,296,59.8%,249,172,69.1%,173,69.5%,246,122,49.6%,123,50.0%,130,74,56.9%,80,61.5%,58,38,65.5%,41,70.7%,72,36,50.0%,39,54.2%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,11,8,72.7%,8,72.7%,7,5,71.4%,5,71.4%,4,3,75.0%,3,75.0%
ALAMOSA,0100,ALAMOSA RE-11J,122,91,74.6%,92,75.4%,55,44,80.0%,45,81.8%,67,47,70.1%,47,70.1%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,83,58,69.9%,58,69.9%,39,30,76.9%,30,76.9%,44,28,63.6%,28,63.6%,34,28,82.4%,29,85.3%,14,12,85.7%,13,92.9%,20,16,80.0%,16,80.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%
ALAMOSA,0110,SANGRE DE CRISTO RE-22J,23,22,95.7%,22,95.7%,12,11,91.7%,11,91.7%,11,11,100.0%,11,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,5,4,80.0%,4,80.0%,2,1,50.0%,1,50.0%,3,3,100.0%,3,100.0%,18,18,100.0%,18,100.0%,10,10,100.0%,10,100.0%,8,8,100.0%,8,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ARAPAHOE,0120,ENGLEWOOD 1,275,129,46.9%,136,49.5%,132,71,53.8%,73,55.3%,143,58,40.6%,63,44.1%,6,2,33.3%,2,33.3%,3,1,33.3%,1,33.3%,3,1,33.3%,1,33.3%,3,3,100.0%,3,100.0%,1,1,100.0%,1,100.0%,2,2,100.0%,2,100.0%,12,3,25.0%,3,25.0%,7,2,28.6%,2,28.6%,5,1,20.0%,1,20.0%,89,36,40.4%,38,42.7%,47,22,46.8%,22,46.8%,42,14,33.3%,16,38.1%,153,78,51.0%,82,53.6%,68,41,60.3%,42,61.8%,85,37,43.5%,40,47.1%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,11,7,63.6%,8,72.7%,6,4,66.7%,5,83.3%,5,3,60.0%,3,60.0%
ARAPAHOE,0123,SHERIDAN 2,108,82,75.9%,82,75.9%,44,38,86.4%,38,86.4%,64,44,68.8%,44,68.8%,3,2,66.7%,2,66.7%,1,1,100.0%,1,100.0%,2,1,50.0%,1,50.0%,7,7,100.0%,7,100.0%,2,2,100.0%,2,100.0%,5,5,100.0%,5,100.0%,4,2,50.0%,2,50.0%,0,0,0.0%,0,0.0%,4,2,50.0%,2,50.0%,88,66,75.0%,66,75.0%,37,31,83.8%,31,83.8%,51,35,68.6%,35,68.6%,6,5,83.3%,5,83.3%,4,4,100.0%,4,100.0%,2,1,50.0%,1,50.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ARAPAHOE,0130,CHERRY CREEK 5,"3,871","3,374",87.2%,"3,419",88.3%,"1,860","1,678",90.2%,"1,692",91.0%,"2,011","1,696",84.3%,"1,727",85.9%,20,16,80.0%,16,80.0%,11,11,100.0%,11,100.0%,9,5,55.6%,5,55.6%,333,317,95.2%,318,95.5%,174,170,97.7%,170,97.7%,159,147,92.5%,148,93.1%,518,436,84.2%,439,84.7%,245,221,90.2%,221,90.2%,273,215,78.8%,218,79.9%,626,537,85.8%,545,87.1%,306,271,88.6%,274,89.5%,320,266,83.1%,271,84.7%,"2,169","1,901",87.6%,"1,931",89.0%,"1,026",920,89.7%,930,90.6%,"1,143",981,85.8%,"1,001",87.6%,12,10,83.3%,10,83.3%,3,3,100.0%,3,100.0%,9,7,77.8%,7,77.8%,193,157,81.3%,160,82.9%,95,82,86.3%,83,87.4%,98,75,76.5%,77,78.6%
ARAPAHOE,0140,LITTLETON 6,"1,230","1,076",87.5%,"1,103",89.7%,642,586,91.3%,595,92.7%,588,490,83.3%,508,86.4%,6,5,83.3%,5,83.3%,3,3,100.0%,3,100.0%,3,2,66.7%,2,66.7%,33,31,93.9%,31,93.9%,18,16,88.9%,16,88.9%,15,15,100.0%,15,100.0%,20,14,70.0%,14,70.0%,11,7,63.6%,7,63.6%,9,7,77.8%,7,77.8%,175,145,82.9%,149,85.1%,93,83,89.2%,84,90.3%,82,62,75.6%,65,79.3%,954,846,88.7%,868,91.0%,497,460,92.6%,468,94.2%,457,386,84.5%,400,87.5%,3,2,66.7%,2,66.7%,1,1,100.0%,1,100.0%,2,1,50.0%,1,50.0%,39,33,84.6%,34,87.2%,19,16,84.2%,16,84.2%,20,17,85.0%,18,90.0%
ARAPAHOE,0170,DEER TRAIL 26J,10,10,100.0%,10,100.0%,7,7,100.0%,7,100.0%,3,3,100.0%,3,100.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,9,9,100.0%,9,100.0%,6,6,100.0%,6,100.0%,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,"2,469","1,457",59.0%,"1,480",59.9%,"1,169",741,63.4%,750,64.2%,"1,300",716,55.1%,730,56.2%,22,13,59.1%,13,59.1%,12,8,66.7%,8,66.7%,10,5,50.0%,5,50.0%,129,80,62.0%,80,62.0%,65,42,64.6%,42,64.6%,64,38,59.4%,38,59.4%,445,277,62.2%,282,63.4%,213,141,66.2%,144,67.6%,232,136,58.6%,138,59.5%,"1,292",708,54.8%,720,55.7%,597,357,59.8%,360,60.3%,695,351,50.5%,360,51.8%,473,322,68.1%,327,69.1%,233,167,71.7%,169,72.5%,240,155,64.6%,158,65.8%,21,11,52.4%,11,52.4%,8,3,37.5%,3,37.5%,13,8,61.5%,8,61.5%,87,46,52.9%,47,54.0%,41,23,56.1%,24,58.5%,46,23,50.0%,23,50.0%
ARAPAHOE,0190,BYERS 32J,134,106,79.1%,109,81.3%,56,45,80.4%,45,80.4%,78,61,78.2%,64,82.1%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,3,2,66.7%,2,66.7%,0,0,0.0%,0,0.0%,3,2,66.7%,2,66.7%,11,7,63.6%,7,63.6%,5,2,40.0%,2,40.0%,6,5,83.3%,5,83.3%,116,93,80.2%,96,82.8%,51,43,84.3%,43,84.3%,65,50,76.9%,53,81.5%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%
ARCHULETA,0220,ARCHULETA COUNTY 50 JT,100,92,92.0%,92,92.0%,41,40,97.6%,40,97.6%,59,52,88.1%,52,88.1%,3,2,66.7%,2,66.7%,2,2,100.0%,2,100.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,30,29,96.7%,29,96.7%,13,12,92.3%,12,92.3%,17,17,100.0%,17,100.0%,65,59,90.8%,59,90.8%,25,25,100.0%,25,100.0%,40,34,85.0%,34,85.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
BACA,0230,WALSH RE-1,12,11,91.7%,11,91.7%,4,4,100.0%,4,100.0%,8,7,87.5%,7,87.5%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,10,9,90.0%,9,90.0%,3,3,100.0%,3,100.0%,7,6,85.7%,6,85.7%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
BACA,0240,PRITCHETT RE-3,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
BACA,0250,SPRINGFIELD RE-4,29,26,89.7%,26,89.7%,14,12,85.7%,12,85.7%,15,14,93.3%,14,93.3%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,3,2,66.7%,2,66.7%,3,2,66.7%,2,66.7%,0,0,0.0%,0,0.0%,25,23,92.0%,23,92.0%,11,10,90.9%,10,90.9%,14,13,92.9%,13,92.9%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%
BACA,0260,VILAS RE-5,9,1,11.1%,2,22.2%,4,1,25.0%,1,25.0%,5,0,0.0%,1,20.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,1,50.0%,1,50.0%,2,1,50.0%,1,50.0%,0,0,0.0%,0,0.0%,7,0,0.0%,1,14.3%,2,0,0.0%,0,0.0%,5,0,0.0%,1,20.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
BACA,0270,CAMPO RE-6,7,6,85.7%,6,85.7%,4,4,100.0%,4,100.0%,3,2,66.7%,2,66.7%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,7,6,85.7%,6,85.7%,4,4,100.0%,4,100.0%,3,2,66.7%,2,66.7%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
BENT,0290,LAS ANIMAS RE-1,36,31,86.1%,31,86.1%,19,17,89.5%,17,89.5%,17,14,82.4%,14,82.4%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,17,13,76.5%,13,76.5%,6,5,83.3%,5,83.3%,11,8,72.7%,8,72.7%,18,17,94.4%,17,94.4%,12,11,91.7%,11,91.7%,6,6,100.0%,6,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%
BENT,0310,MC CLAVE RE-2,24,24,100.0%,24,100.0%,9,9,100.0%,9,100.0%,15,15,100.0%,15,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,24,24,100.0%,24,100.0%,9,9,100.0%,9,100.0%,15,15,100.0%,15,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
BOULDER,0470,ST VRAIN VALLEY RE 1J,"1,984","1,622",81.8%,"1,657",83.5%,977,850,87.0%,857,87.7%,"1,007",772,76.7%,800,79.4%,8,5,62.5%,5,62.5%,3,3,100.0%,3,100.0%,5,2,40.0%,2,40.0%,56,53,94.6%,54,96.4%,23,22,95.7%,23,100.0%,33,31,93.9%,31,93.9%,15,14,93.3%,14,93.3%,4,4,100.0%,4,100.0%,11,10,90.9%,10,90.9%,549,378,68.9%,383,69.8%,267,203,76.0%,203,76.0%,282,175,62.1%,180,63.8%,"1,327","1,148",86.5%,"1,177",88.7%,668,606,90.7%,612,91.6%,659,542,82.2%,565,85.7%,8,7,87.5%,7,87.5%,3,3,100.0%,3,100.0%,5,4,80.0%,4,80.0%,21,17,81.0%,17,81.0%,9,9,100.0%,9,100.0%,12,8,66.7%,8,66.7%
BOULDER,0480,BOULDER VALLEY RE 2,"2,304","2,127",92.3%,"2,155",93.5%,"1,151","1,095",95.1%,"1,106",96.1%,"1,153","1,032",89.5%,"1,049",91.0%,7,6,85.7%,6,85.7%,5,4,80.0%,4,80.0%,2,2,100.0%,2,100.0%,136,131,96.3%,132,97.1%,74,72,97.3%,73,98.6%,62,59,95.2%,59,95.2%,20,17,85.0%,17,85.0%,13,12,92.3%,12,92.3%,7,5,71.4%,5,71.4%,317,258,81.4%,261,82.3%,160,143,89.4%,144,90.0%,157,115,73.2%,117,74.5%,"1,713","1,615",94.3%,"1,639",95.7%,843,810,96.1%,819,97.2%,870,805,92.5%,820,94.3%,2,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,109,100,91.7%,100,91.7%,55,54,98.2%,54,98.2%,54,46,85.2%,46,85.2%
CHAFFEE,0490,BUENA VISTA R-31,96,75,78.1%,77,80.2%,46,42,91.3%,42,91.3%,50,33,66.0%,35,70.0%,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,1,50.0%,1,50.0%,0,0,0.0%,0,0.0%,2,1,50.0%,1,50.0%,8,7,87.5%,7,87.5%,4,4,100.0%,4,100.0%,4,3,75.0%,3,75.0%,84,66,78.6%,68,81.0%,40,37,92.5%,37,92.5%,44,29,65.9%,31,70.5%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%
CHAFFEE,0500,SALIDA R-32,84,63,75.0%,63,75.0%,49,38,77.6%,38,77.6%,35,25,71.4%,25,71.4%,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,11,6,54.5%,6,54.5%,5,2,40.0%,2,40.0%,6,4,66.7%,4,66.7%,69,54,78.3%,54,78.3%,40,33,82.5%,33,82.5%,29,21,72.4%,21,72.4%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%
CHEYENNE,0510,KIT CARSON R-1,5,4,80.0%,4,80.0%,4,4,100.0%,4,100.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,5,4,80.0%,4,80.0%,4,4,100.0%,4,100.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
